N,P,Iteration,Status,Time_s,Optimal_Cost
10,50,1,OPTIMAL_30_GAP,0.198,35400.00
10,50,2,OPTIMAL_30_GAP,0.204,52220.00
10,50,3,OPTIMAL_30_GAP,0.234,40706.00
10,50,4,OPTIMAL_30_GAP,0.233,35180.00
10,50,5,OPTIMAL_30_GAP,0.442,41675.00
10,50,6,OPTIMAL_30_GAP,0.429,29220.00
10,50,7,OPTIMAL_30_GAP,0.614,22781.00
10,50,8,OPTIMAL_30_GAP,0.207,39591.00
10,50,9,OPTIMAL_30_GAP,0.825,44592.00
10,50,10,OPTIMAL_30_GAP,0.154,31440.00
10,100,1,OPTIMAL_30_GAP,0.424,54445.00
10,100,2,OPTIMAL_30_GAP,0.443,85494.00
10,100,3,OPTIMAL_30_GAP,0.471,99922.00
10,100,4,OPTIMAL_30_GAP,0.512,82998.00
10,100,5,OPTIMAL_30_GAP,0.388,83398.00
10,100,6,OPTIMAL_30_GAP,0.350,65600.00
10,100,7,OPTIMAL_30_GAP,0.327,87520.00
10,100,8,OPTIMAL_30_GAP,0.468,118107.00
10,100,9,OPTIMAL_30_GAP,0.294,93240.00
10,100,10,OPTIMAL_30_GAP,0.526,72402.00
10,200,1,OPTIMAL_30_GAP,0.687,293147.00
10,200,2,OPTIMAL_30_GAP,0.986,188154.00
10,200,3,OPTIMAL_30_GAP,0.706,254157.00
10,200,4,OPTIMAL_30_GAP,0.628,162455.00
10,200,5,OPTIMAL_30_GAP,0.865,101312.00
10,200,6,OPTIMAL_30_GAP,0.709,201938.00
10,200,7,OPTIMAL_30_GAP,0.535,178200.00
10,200,8,OPTIMAL_30_GAP,0.590,140838.00
10,200,9,OPTIMAL_30_GAP,0.579,145567.00
10,200,10,OPTIMAL_30_GAP,0.606,154863.00
10,500,1,OPTIMAL_30_GAP,1.170,586432.00
10,500,2,OPTIMAL_30_GAP,1.154,201157.00
10,500,3,OPTIMAL_30_GAP,1.254,651602.00
10,500,4,OPTIMAL_30_GAP,1.096,389802.00
10,500,5,OPTIMAL_30_GAP,1.343,386196.00
10,500,6,OPTIMAL_30_GAP,1.550,661554.00
10,500,7,OPTIMAL_30_GAP,1.189,304434.00
10,500,8,OPTIMAL_30_GAP,1.184,408598.00
10,500,9,OPTIMAL_30_GAP,1.158,342159.00
10,500,10,OPTIMAL_30_GAP,1.298,353901.00
10,1000,1,OPTIMAL_30_GAP,2.088,1015462.00
10,1000,2,OPTIMAL_30_GAP,2.496,1039679.00
10,1000,3,OPTIMAL_30_GAP,2.149,789758.00
10,1000,4,OPTIMAL_30_GAP,2.368,976317.00
10,1000,5,OPTIMAL_30_GAP,2.443,932038.00
10,1000,6,OPTIMAL_30_GAP,3.171,616344.00
10,1000,7,OPTIMAL_30_GAP,2.210,1424261.00
10,1000,8,OPTIMAL_30_GAP,2.171,780367.00
10,1000,9,OPTIMAL_30_GAP,2.382,652679.00
10,1000,10,OPTIMAL_30_GAP,2.500,1051961.00
10,5000,1,OPTIMAL_30_GAP,12.988,3220164.00
10,5000,2,OPTIMAL_30_GAP,14.005,2872943.00
10,5000,3,OPTIMAL_30_GAP,14.539,4233566.00
10,5000,4,OPTIMAL_30_GAP,13.677,4104436.00
10,5000,5,OPTIMAL_30_GAP,12.568,5038646.00
10,5000,6,OPTIMAL_30_GAP,14.258,3557544.00
10,5000,7,OPTIMAL_30_GAP,13.981,6628238.00
10,5000,8,OPTIMAL_30_GAP,12.789,4075669.00
10,5000,9,OPTIMAL_30_GAP,13.098,5663318.00
10,5000,10,OPTIMAL_30_GAP,13.751,4293259.00
10,10000,1,OPTIMAL_30_GAP,34.836,7997068.00
10,10000,2,OPTIMAL_30_GAP,34.953,6134419.00
10,10000,3,OPTIMAL_30_GAP,33.624,8630630.00
10,10000,4,OPTIMAL_30_GAP,29.610,4464633.00
10,10000,5,OPTIMAL_30_GAP,43.393,8331592.00
10,10000,6,OPTIMAL_30_GAP,41.449,8808821.00
10,10000,7,OPTIMAL_30_GAP,31.733,7801123.00
10,10000,8,OPTIMAL_30_GAP,32.594,10365548.00
10,10000,9,OPTIMAL_30_GAP,31.720,11299701.00
10,10000,10,OPTIMAL_30_GAP,31.415,5369144.00
20,50,1,OPTIMAL_30_GAP,1.181,46562.00
20,50,2,OPTIMAL_30_GAP,0.517,44449.00
20,50,3,OPTIMAL_30_GAP,2.421,47781.00
20,50,4,OPTIMAL_30_GAP,0.292,47756.00
20,50,5,OPTIMAL_30_GAP,1.032,46583.00
20,50,6,OPTIMAL_30_GAP,1.013,47744.00
20,50,7,OPTIMAL_30_GAP,0.352,47280.00
20,50,8,OPTIMAL_30_GAP,0.371,37700.00
20,50,9,OPTIMAL_30_GAP,8.660,46358.00
20,50,10,OPTIMAL_30_GAP,1.206,29362.00
20,100,1,OPTIMAL_30_GAP,2.112,71814.00
20,100,2,OPTIMAL_30_GAP,0.679,80212.00
20,100,3,OPTIMAL_30_GAP,1.060,69907.00
20,100,4,OPTIMAL_30_GAP,0.937,88295.00
20,100,5,OPTIMAL_30_GAP,0.924,99243.00
20,100,6,OPTIMAL_30_GAP,0.942,117662.00
20,100,7,OPTIMAL_30_GAP,0.908,55977.00
20,100,8,OPTIMAL_30_GAP,1.552,117000.00
20,100,9,OPTIMAL_30_GAP,5.026,72482.00
20,100,10,OPTIMAL_30_GAP,1.223,62043.00
20,200,1,OPTIMAL_30_GAP,1.281,203794.00
20,200,2,OPTIMAL_30_GAP,1.253,162992.00
20,200,3,OPTIMAL_30_GAP,1.384,191102.00
20,200,4,OPTIMAL_30_GAP,1.038,151607.00
20,200,5,OPTIMAL_30_GAP,1.578,218244.00
20,200,6,OPTIMAL_30_GAP,1.280,114563.00
20,200,7,OPTIMAL_30_GAP,1.117,215263.00
20,200,8,OPTIMAL_30_GAP,1.200,218100.00
20,200,9,OPTIMAL_30_GAP,1.530,128883.00
20,200,10,OPTIMAL_30_GAP,1.219,127856.00
20,500,1,OPTIMAL_30_GAP,3.338,353627.00
20,500,2,OPTIMAL_30_GAP,2.629,541784.00
20,500,3,OPTIMAL_30_GAP,2.888,366672.00
20,500,4,OPTIMAL_30_GAP,2.619,216670.00
20,500,5,OPTIMAL_30_GAP,2.827,268141.00
20,500,6,OPTIMAL_30_GAP,2.548,653920.00
20,500,7,OPTIMAL_30_GAP,3.139,463819.00
20,500,8,OPTIMAL_30_GAP,2.490,497558.00
20,500,9,OPTIMAL_30_GAP,2.305,582520.00
20,500,10,OPTIMAL_30_GAP,2.631,272894.00
20,1000,1,OPTIMAL_30_GAP,4.750,618153.00
20,1000,2,OPTIMAL_30_GAP,4.120,1069545.00
20,1000,3,OPTIMAL_30_GAP,4.038,837174.00
20,1000,4,OPTIMAL_30_GAP,4.622,876820.00
20,1000,5,OPTIMAL_30_GAP,5.929,892670.00
20,1000,6,OPTIMAL_30_GAP,5.298,1271298.00
20,1000,7,OPTIMAL_30_GAP,4.777,525518.00
20,1000,8,OPTIMAL_30_GAP,5.365,775574.00
20,1000,9,OPTIMAL_30_GAP,4.609,632888.00
20,1000,10,OPTIMAL_30_GAP,4.608,790794.00
20,5000,1,OPTIMAL_30_GAP,30.665,4890276.00
20,5000,2,OPTIMAL_30_GAP,30.526,3643145.00
20,5000,3,OPTIMAL_30_GAP,30.091,3094616.00
20,5000,4,OPTIMAL_30_GAP,28.918,4845718.00
20,5000,5,OPTIMAL_30_GAP,29.781,4107630.00
